Rank,Youtuber,Subscribers,Video Views,Category,Title,Uploads,Country,Abbreviation,Channel_Type,Video_Views_Rank,Country_Rank,Channel_Type_Rank,Video_Views_For_The_Last_30_Days,Lowest_Monthly_Earnings,Highest_Monthly_Earnings,Lowest_Yearly_Earnings,Highest_Yearly_Earnings,Subscribers_For_Last_30_Days,Created_Year,Created_Month,Created_Date,Gross Tertiary Education Enrollment (%),Population,Unemployment Rate,Urban_Population,Latitude,Longitude
318,Kinder Spielzeug Kanal (Kidibli),22200000,11136266461.0,Entertainment,Kinder Spielzeug Kanal (Kidibli),999,United States,US,Entertainment,370,92,86,139333000.0,34800.0,557300.0,418000.0,6700000.0,200000,1970-01-01 00:00:00.000002015,Sep,25,88.2,328239523,14.7,270663028,37.09024,-95.712891
319,Charlie Puth,22000000,9924807127.0,Music,Charlie Puth,157,United States,US,Music,449,94,86,111500000.0,27900.0,446000.0,334500.0,5400000.0,100000,1970-01-01 00:00:00.000002009,Sep,9,88.2,328239523,14.7,270663028,37.09024,-95.712891
320,Vlad and Niki ESP,22000000,8594440895.0,Unknown,Vlad and Niki ESP,515,United States,US,Entertainment,591,93,87,183871000.0,46000.0,735500.0,551600.0,8800000.0,200000,1970-01-01 00:00:00.000002018,Oct,11,88.2,328239523,14.7,270663028,37.09024,-95.712891
321,Sagawa /ï¿½ï¿½ï¿½,22000000,18347969186.0,Entertainment,Sagawa /ï¿½ï¿½ï¿½,6274,Japan,JP,Entertainment,144,3,88,711254000.0,177800.0,2800000.0,2100000.0,34100000.0,800000,1970-01-01 00:00:00.000002021,Feb,13,63.2,126226568,2.29,115782416,36.204824,138.252924
322,Ben Azelart,21900000,4454917643.0,Film & Animation,Ben Azelart,301,United States,US,Entertainment,1620,94,88,184946000.0,46200.0,739800.0,554800.0,8900000.0,500000,1970-01-01 00:00:00.000002014,Jun,5,88.2,328239523,14.7,270663028,37.09024,-95.712891
323,Zach Choi ASMR,21900000,5918314128.0,People & Blogs,Zach Choi ASMR,946,United States,US,People,1069,94,12,234222000.0,58600.0,936900.0,702700.0,11200000.0,400000,1970-01-01 00:00:00.000002014,Jul,5,88.2,328239523,14.7,270663028,37.09024,-95.712891
324,Topper Guild,21900000,15552070846.0,Comedy,Topper Guild,816,United States,US,Comedy,204,91,16,687028000.0,171800.0,2700000.0,2100000.0,33000000.0,1900000,1970-01-01 00:00:00.000002014,Jul,9,88.2,328239523,14.7,270663028,37.09024,-95.712891
325,Disney Latinoamï¿½ï¿½,21900000,20657571751.0,Entertainment,disneylatinoamerica,116,Mexico,MX,Music,1277277,2973,4085,4719.0,1.0,19.0,14.0,227.0,0,1970-01-01 00:00:00.000002008,Apr,7,40.2,126014024,3.42,102626859,23.634501,-102.552784
326,Stokes Twins,21800000,4469711607.0,People & Blogs,Stokes Twins,257,United States,US,People,1610,95,13,197953000.0,49500.0,791800.0,593900.0,9500000.0,600000,1970-01-01 00:00:00.000002008,Apr,11,88.2,328239523,14.7,270663028,37.09024,-95.712891
327,National Geographic,21800000,5614621131.0,Science & Technology,National Geographic,10162,United States,US,Entertainment,1158,95,89,45812000.0,11500.0,183200.0,137400.0,2200000.0,100000,1970-01-01 00:00:00.000002006,May,7,88.2,328239523,14.7,270663028,37.09024,-95.712891
